workflow_name,method,level,stage_name,policy,windows,active_windows,actual_total,allocated_replica_windows,allocated_replica_seconds,allocated_total,under_total,over_total,coverage_rate,quantile_hit_rate,active_quantile_hit_rate,active_coverage_rate,demand_coverage_rate,allocation_utilization,over_allocation_ratio,mae,rmse,max_actual,max_allocated,peak_allocated,scale_events
spoken_dialog_flow,ewma,entry,__entry__,p50,432,412,1625,1728,8640.0,1728,359,462,0.6550925925925926,0.5162037037037037,0.49271844660194175,0.6383495145631068,0.7790769230769231,0.7326388888888888,0.2673611111111111,1.8803808082293398,2.404295278985323,14,4,4,1
spoken_dialog_flow,ewma,entry,__entry__,p90,432,412,1625,3456,17280.0,3456,35,1866,0.9560185185185185,0.9212962962962963,0.9174757281553398,0.9538834951456311,0.9784615384615385,0.4600694444444444,0.5399305555555556,3.642129629629631,4.096385036879514,14,8,8,1
spoken_dialog_flow,ewma,entry,__entry__,p95,432,412,1625,3456,17280.0,3456,35,1866,0.9560185185185185,0.9560185185185185,0.9538834951456311,0.9538834951456311,0.9784615384615385,0.4600694444444444,0.5399305555555556,4.400462962962963,4.85793547065387,14,8,8,1
spoken_dialog_flow,burst-aware,entry,__entry__,p50,432,412,1625,2160,10800.0,2160,210,745,0.7939814814814815,0.7939814814814815,0.7839805825242718,0.7839805825242718,0.8707692307692307,0.6550925925925926,0.3449074074074074,2.2106481481481484,2.677495374689092,14,5,5,1
spoken_dialog_flow,burst-aware,entry,__entry__,p90,432,412,1625,4320,21600.0,4320,9,2704,0.9907407407407407,0.9907407407407407,0.9902912621359223,0.9902912621359223,0.9944615384615385,0.37407407407407406,0.6259259259259259,6.280092592592593,6.674821401411482,14,10,10,1
spoken_dialog_flow,burst-aware,entry,__entry__,p95,432,412,1625,4320,21600.0,4320,9,2704,0.9907407407407407,0.9907407407407407,0.9902912621359223,0.9902912621359223,0.9944615384615385,0.37407407407407406,0.6259259259259259,6.280092592592593,6.674821401411482,14,10,10,1
spoken_dialog_flow,hurdle-ewma,entry,__entry__,p50,432,412,1625,1728,8640.0,1728,359,462,0.6550925925925926,0.5162037037037037,0.49271844660194175,0.6383495145631068,0.7790769230769231,0.7326388888888888,0.2673611111111111,1.8964775826895062,2.3766806807878615,14,4,4,1
spoken_dialog_flow,hurdle-ewma,entry,__entry__,p90,432,412,1625,3456,17280.0,3456,35,1866,0.9560185185185185,0.9560185185185185,0.9538834951456311,0.9538834951456311,0.9784615384615385,0.4600694444444444,0.5399305555555556,4.400462962962963,4.85793547065387,14,8,8,1
spoken_dialog_flow,hurdle-ewma,entry,__entry__,p95,432,412,1625,3456,17280.0,3456,35,1866,0.9560185185185185,0.9560185185185185,0.9538834951456311,0.9538834951456311,0.9784615384615385,0.4600694444444444,0.5399305555555556,4.400462962962963,4.85793547065387,14,8,8,1
spoken_dialog_flow,hazard-hurdle,entry,__entry__,p50,432,412,1625,1727,8635.0,1727,359,461,0.6550925925925926,0.5162037037037037,0.49271844660194175,0.6383495145631068,0.7790769230769231,0.7330631152287204,0.2669368847712797,1.8947321079137565,2.3756691567159502,14,4,4,3
spoken_dialog_flow,hazard-hurdle,entry,__entry__,p90,432,412,1625,3456,17280.0,3456,35,1866,0.9560185185185185,0.9560185185185185,0.9538834951456311,0.9538834951456311,0.9784615384615385,0.4600694444444444,0.5399305555555556,4.400462962962963,4.85793547065387,14,8,8,1
spoken_dialog_flow,hazard-hurdle,entry,__entry__,p95,432,412,1625,3456,17280.0,3456,35,1866,0.9560185185185185,0.9560185185185185,0.9538834951456311,0.9538834951456311,0.9784615384615385,0.4600694444444444,0.5399305555555556,4.400462962962963,4.85793547065387,14,8,8,1
spoken_dialog_flow,burst-localized,entry,__entry__,p50,432,412,1625,1728,8640.0,1728,359,462,0.6550925925925926,0.5162037037037037,0.49271844660194175,0.6383495145631068,0.7790769230769231,0.7326388888888888,0.2673611111111111,1.8815558916383166,2.396797283145599,14,4,4,1
spoken_dialog_flow,burst-localized,entry,__entry__,p90,432,412,1625,2277,11385.0,2277,309,961,0.7037037037037037,0.5856481481481481,0.5655339805825242,0.6893203883495146,0.8098461538461539,0.577953447518665,0.4220465524813351,2.921167099705022,4.180390207368269,14,13,13,123
spoken_dialog_flow,burst-localized,entry,__entry__,p95,432,412,1625,2277,11385.0,2277,309,961,0.7037037037037037,0.5856481481481481,0.5655339805825242,0.6893203883495146,0.8098461538461539,0.577953447518665,0.4220465524813351,2.921167099705022,4.180390207368269,14,13,13,123
spoken_dialog_flow,fip-fourier,entry,__entry__,p50,432,412,1625,9764,48820.0,9764,2,8141,0.9976851851851852,0.9930555555555556,0.9927184466019418,0.9975728155339806,0.9987692307692307,0.1662228594838181,0.8337771405161819,18.393178532978247,20.756787193259257,14,40,40,232
spoken_dialog_flow,fip-fourier,entry,__entry__,p90,432,412,1625,11169,55845.0,11169,0,9544,1.0,1.0,1.0,1.0,1.0,0.14549198674903752,0.8545080132509625,21.574719026183157,23.635061370169947,14,43,43,216
spoken_dialog_flow,fip-fourier,entry,__entry__,p95,432,412,1625,11484,57420.0,11484,0,9859,1.0,1.0,1.0,1.0,1.0,0.141501219087426,0.858498780912574,22.35375316770921,24.348262886617185,14,44,44,232
